stop_id,stop_name,stop_desc,stop_lat,stop_lon
8778,"Gradistea Dj 101 1","DJ 101, Ilfov",44.662158,26.28622
8779,"Gradistea Dj 101 2","DJ 101, Ilfov",44.661963,26.291566
8780,"Gradistea Dj 101 3","DJ 101, Ilfov",44.662079,26.29553
8781,"Gradistea Dj 101 4","DJ 101, Ilfov",44.662167,26.304161
8782,"Sitaru 1","DJ 101, Ilfov",44.666112,26.324766
8783,"Sitaru 2","DJ 101, Ilfov",44.667803,26.330597
8784,"Sitaru","DJ 101, Ilfov",44.669215,26.343952
8785,"Sitaru 2","DJ 101, Ilfov",44.667618,26.329828
8786,"Sitaru 1","DJ 101, Ilfov",44.666314,26.325329
8857,"Gradistea Dj 101 5","DJ 101, Ilfov",44.662558,26.308946
8787,"Gradistea Dj 104 4","DJ 101, Ilfov",44.662117,26.302686
8788,"Gradistea Dj 101 3","DJ 101, Ilfov",44.662155,26.295471
8789,"Gradistea Dj 101 2","DJ 101, Ilfov",44.661924,26.29066
8790,"Gradistea Dj 101 1","DJ 101, Ilfov",44.661961,26.285423
8791,"Intrare Gradistea","DJ 101, Ilfov",44.660614,26.279211
9014,"Ion Creanga","DJ101",44.64838,26.238163
8792,"Moara Vlasiei","Com. Moara Vlasiei",44.645098,26.231154
